step,alpha_s,exponent_inel,exponent_el,scale_inel,scale_el,pT 1.0 GeV,pT 2.0 GeV,pT 3.0 GeV,pT 4.0 GeV,pT 5.0 GeV,pT 6.0 GeV,pT 7.0 GeV,pT 8.0 GeV,pT 9.0 GeV,pT 10.0 GeV
55.0,0.380909090909091,-1.0181818181818183,1.0181818181818176,0.18454545454545457,0.17363636363636364,0.5434624432785244,0.6495432057193798,0.08857483876751182,0.037445952687412555,0.02325157823418721,0.01747900351449995,0.014585778185994719,0.012773353657582628,0.011161776934129751,0.009356773347018205
55.0,0.3372727272727273,-0.1454545454545455,-0.36363636363636376,0.16272727272727272,0.1572727272727273,0.6409061346738131,0.7373386009593347,0.15810599780516976,0.07676536139867911,0.04909181490468131,0.03647476582798695,0.029780015116694425,0.025543587570724426,0.021656878111108807,0.016885939250403516
55.0,0.26636363636363636,0.3636363636363633,-1.8909090909090909,0.35363636363636364,0.10272727272727274,0.8363998637554205,0.9095596537600497,0.3893968599073577,0.27305483468142716,0.2259895493255987,0.20239977547600277,0.1891869234479304,0.18077027053198727,0.1730660395244381,0.16301923654180453
55.0,0.35363636363636364,-1.2363636363636363,-1.7454545454545456,0.2936363636363637,0.24454545454545457,0.5003496974090759,0.6185860192505824,0.05198548145375096,0.014979525584728952,0.006310739440209456,0.003242824010880171,0.0018526051344517646,0.001004127518518891,0.0004351573774024028,7.186449981496803e-05
55.0,0.2936363636363637,-1.3818181818181818,1.6727272727272728,0.2990909090909091,0.25,0.7921013028363408,0.9319499723528863,0.15621968315539392,0.07031148891720543,0.043786605479036914,0.032200723716191225,0.026124026550682904,0.02228610254080046,0.018941034668516436,0.015178911860220856
55.0,0.18454545454545457,1.9636363636363638,1.2363636363636363,0.1572727272727273,0.13545454545454547,0.8443879766633545,0.8932266405519487,0.5198436380569573,0.4169422966391561,0.3720826748309404,0.3489032163945424,0.33584437857698357,0.327606992784693,0.31989543800682946,0.3092125424758679
55.0,0.39727272727272733,0.872727272727273,-1.4545454545454546,0.15181818181818182,0.380909090909091,0.24701593199387326,0.3013988996304438,0.028771387347742407,0.00999581180283828,0.005531498835717176,0.00390648614440583,0.003147040617780001,0.002669369643192458,0.0022321776776626848,0.00176129304700695
55.0,0.3754545454545455,-1.6,0.2181818181818178,0.21181818181818182,0.23363636363636367,0.5846099102032204,0.7122119446829074,0.07408185659870137,0.024423074000026922,0.011697574911335665,0.00693038757320035,0.004690328729550154,0.0032881958268187153,0.002140765759276819,0.0012340727231660393
55.0,0.34272727272727277,1.1636363636363631,1.5272727272727273,0.30454545454545456,0.260909090909091,0.6841944094124207,0.7682301001045789,0.22761044029098532,0.13754728318310142,0.10562492638405277,0.09082251271074462,0.08290724532925307,0.07791324546395266,0.07331739159918338,0.06750366712426037
55.0,0.38636363636363646,1.6727272727272728,-1.2363636363636363,0.25,0.10818181818181818,0.632163671424513,0.7328786175651703,0.14514891515640826,0.07118377442851341,0.04775543818276572,0.03755309210577606,0.032272867955901875,0.02894925144234843,0.025944462837575993,0.02240792825880913
